address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
6037 Buell St,Bell Gardens,CA,90201,754900,NA,NA,NA,1,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/6037-Buell-St-Bell-Gardens-CA-90201/21040231_zpid/
6522 Pine Ave,Bell,CA,90201,580000,NA,NA,NA,1,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/6522-Pine-Ave-Bell-CA-90201/21076035_zpid/
5950 Priory St,Bell Gardens,CA,90201,510000,NA,NA,NA,29,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/5950-Priory-St-Bell-Gardens-CA-90201/21039329_zpid/
6925 San Luis Ave,Bell,CA,90201,240000,NA,NA,NA,219,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/6925-San-Luis-Ave-Bell-CA-90201/21076408_zpid/
Adamson Ave,Bell Gardens,CA,90201,NA,NA,NA,NA,66,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/129578589_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Chanslor Ave,Bell,CA,90201,NA,NA,NA,NA,99,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/116888531_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
6235 Riverside Ave # A,Bell,CA,90201,NA,NA,NA,NA,508,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/6235-Riverside-Ave-A-Bell-CA-90201/21071805_zpid/
Perry Rd,Bell Gardens,CA,90201,NA,NA,NA,NA,274,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/127013133_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Clara St,Bell,CA,90201,NA,NA,NA,NA,421,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/125436931_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
5973 Watcher St,Bell Gardens,CA,90201,NA,NA,NA,NA,134,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/5973-Watcher-St-Bell-Gardens-CA-90201/21078508_zpid/
Fostoria St,Bell,CA,90201,NA,NA,NA,NA,66,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/124806603_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
6521 Loma Vista Pl # A,Bell,CA,90201,NA,NA,NA,NA,7215,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/6521-Loma-Vista-Pl-A-Bell-CA-90201/21075353_zpid/
Emil Ave,Bell Gardens,CA,90201,NA,NA,NA,NA,250,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126059473_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
7550 Perry Rd,Bell Gardens,CA,90201,799900,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/7550-Perry-Rd-Bell-Gardens-CA-90201/82873520_zpid/
River Dr,Bell,CA,90201,NA,NA,NA,NA,415,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/123035818_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
6003 Live Oak St,Bell Gardens,CA,90201,1299999,NA,NA,NA,51,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/6003-Live-Oak-St-Bell-Gardens-CA-90201/2094390738_zpid/
4732 Florence Ave,Bell,CA,90201,550000,NA,NA,NA,105,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4732-Florence-Ave-Bell-CA-90201/21038714_zpid/
6212 Orchard Ave,Bell,CA,90201,710000,NA,NA,NA,116,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/6212-Orchard-Ave-Bell-CA-90201/21072201_zpid/
6240 Atlantic Ave,Bell,CA,90201,1100000,NA,NA,NA,81,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/6240-Atlantic-Ave-Bell-CA-90201/95573886_zpid/
6726 Foster Bridge Blvd,Bell Gardens,CA,90201,749000,NA,NA,NA,64,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/6726-Foster-Bridge-Blvd-Bell-Gardens-CA-90201/2094552002_zpid/
4043 Beck Ave,Bell,CA,90201,839000,NA,NA,NA,67,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4043-Beck-Ave-Bell-CA-90201/21076259_zpid/
El Cortez Ave,Bell,CA,90201,NA,NA,NA,NA,351,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/136041326_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
San Luis Ave,Bell,CA,90201,NA,NA,NA,NA,54,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/136041333_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Purdy Ave,BELL,CA,90201,NA,NA,NA,NA,102,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/136041350_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Emil Ave,Bell,CA,90201,NA,NA,NA,NA,87,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/136065426_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Hannon St,Bell Gardens,CA,90201,NA,NA,NA,NA,432,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/136065474_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Fostoria St,Cudahy,CA,90201,NA,NA,NA,NA,40,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/154104007_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
King Ave,Bell,CA,90201,NA,NA,NA,NA,92,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/136041346_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Gifford Ave,Bell,CA,90201,NA,NA,NA,NA,667,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/136041358_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Bear Ave,Bell,CA,90201,NA,NA,NA,NA,33,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/190925612_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
4118 E 52nd St,Maywood,CA,90270,480000,NA,NA,NA,11,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4118-E-52nd-St-Maywood-CA-90270/21068710_zpid/
4843 E 61st St,Maywood,CA,90270,NA,NA,NA,NA,15,Auction,http://www.zillow.com/homes/for_sale//homedetails/4843-E-61st-St-Maywood-CA-90270/21070250_zpid/
6119 Prospect Ave,Maywood,CA,90270,340000,NA,NA,NA,15,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/6119-Prospect-Ave-Maywood-CA-90270/21071016_zpid/
4059 E 56th St,Maywood,CA,90270,537000,NA,NA,NA,17,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4059-E-56th-St-Maywood-CA-90270/21068964_zpid/
3553 E 55th St,Maywood,CA,90270,538000,NA,NA,NA,17,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3553-E-55th-St-Maywood-CA-90270/21068480_zpid/
3531 Slauson Ave,Maywood,CA,90270,579999,NA,NA,NA,15,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3531-Slauson-Ave-Maywood-CA-90270/2116314136_zpid/
6133 Alamo Ave,Maywood,CA,90270,NA,NA,NA,NA,2123,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/6133-Alamo-Ave-Maywood-CA-90270/21070382_zpid/
Vinevale Ave,Maywood,CA,90270,NA,NA,NA,NA,509,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/122213086_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Randolph St,Maywood,CA,90270,NA,NA,NA,NA,582,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/121428328_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 60th Pl,Maywood,CA,90270,NA,NA,NA,NA,439,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/121717450_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3901 E 56th St,Maywood,CA,90270,475000,NA,NA,NA,74,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3901-E-56th-St-Maywood-CA-90270/21068980_zpid/
3560 E 56th St,Maywood,CA,90270,599000,NA,NA,NA,206,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3560-E-56th-St-Maywood-CA-90270/21068548_zpid/
E 61st St,Maywood,CA,90270,NA,NA,NA,NA,30,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/E-61st-St-Maywood-CA-90270/136041366_zpid/
Prospect Ave,Maywood,CA,90270,NA,NA,NA,NA,309,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/136041315_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Loma Vista Ave,Maywood,CA,90270,NA,NA,NA,NA,204,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/136041336_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 54th St,Maywood,CA,90270,NA,NA,NA,NA,422,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/136041337_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 53rd St,Maywood,CA,90270,NA,NA,NA,NA,592,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/136041348_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 52nd St,Maywood,CA,90270,NA,NA,NA,NA,219,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/136041398_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
4118 E 52nd St,Maywood,CA,90270,480000,NA,NA,NA,11,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4118-E-52nd-St-Maywood-CA-90270/21068710_zpid/
4843 E 61st St,Maywood,CA,90270,NA,NA,NA,NA,15,Auction,http://www.zillow.com/homes/for_sale//homedetails/4843-E-61st-St-Maywood-CA-90270/21070250_zpid/
6119 Prospect Ave,Maywood,CA,90270,340000,NA,NA,NA,15,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/6119-Prospect-Ave-Maywood-CA-90270/21071016_zpid/
4059 E 56th St,Maywood,CA,90270,537000,NA,NA,NA,17,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4059-E-56th-St-Maywood-CA-90270/21068964_zpid/
3553 E 55th St,Maywood,CA,90270,538000,NA,NA,NA,17,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3553-E-55th-St-Maywood-CA-90270/21068480_zpid/
3531 Slauson Ave,Maywood,CA,90270,579999,NA,NA,NA,15,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3531-Slauson-Ave-Maywood-CA-90270/2116314136_zpid/
6133 Alamo Ave,Maywood,CA,90270,NA,NA,NA,NA,2123,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/6133-Alamo-Ave-Maywood-CA-90270/21070382_zpid/
Vinevale Ave,Maywood,CA,90270,NA,NA,NA,NA,509,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/122213086_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Randolph St,Maywood,CA,90270,NA,NA,NA,NA,582,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/121428328_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 60th Pl,Maywood,CA,90270,NA,NA,NA,NA,439,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/121717450_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3901 E 56th St,Maywood,CA,90270,475000,NA,NA,NA,74,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3901-E-56th-St-Maywood-CA-90270/21068980_zpid/
3560 E 56th St,Maywood,CA,90270,599000,NA,NA,NA,206,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3560-E-56th-St-Maywood-CA-90270/21068548_zpid/
E 61st St,Maywood,CA,90270,NA,NA,NA,NA,30,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/E-61st-St-Maywood-CA-90270/136041366_zpid/
Prospect Ave,Maywood,CA,90270,NA,NA,NA,NA,309,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/136041315_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Loma Vista Ave,Maywood,CA,90270,NA,NA,NA,NA,204,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/136041336_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 54th St,Maywood,CA,90270,NA,NA,NA,NA,422,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/136041337_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 53rd St,Maywood,CA,90270,NA,NA,NA,NA,592,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/136041348_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 52nd St,Maywood,CA,90270,NA,NA,NA,NA,219,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/136041398_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
9965 9969 Durant Dr,Beverly Hills,CA,90211,7695000,NA,NA,NA,4,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/9965-9969-Durant-Dr-Beverly-Hills-CA-90211/2093802145_zpid/
256 N La Peer Dr,Beverly Hills,CA,90211,3500000,NA,NA,NA,3,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/256-N-La-Peer-Dr-Beverly-Hills-CA-90211/20515959_zpid/
341 S Doheny Dr,Beverly Hills,CA,90211,3799000,NA,NA,NA,10,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/341-S-Doheny-Dr-Beverly-Hills-CA-90211/2093875613_zpid/
423 S Doheny Dr,Beverly Hills,CA,90211,2595000,NA,NA,NA,30,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/423-S-Doheny-Dr-Beverly-Hills-CA-90211/20512855_zpid/
163 N Arnaz Dr,Beverly Hills,CA,90211,3500000,NA,NA,NA,249,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/163-N-Arnaz-Dr-Beverly-Hills-CA-90211/20514448_zpid/
413 S Acacia Ave,Compton,CA,90220,550000,NA,NA,NA,3,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/413-S-Acacia-Ave-Compton-CA-90220/21005174_zpid/
434 W Laurel St # 3,Compton,CA,90220,459000,NA,NA,NA,1,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/434-W-Laurel-St-3-Compton-CA-90220/2093758467_zpid/
434 W Laurel St # 2,Compton,CA,90220,459000,NA,NA,NA,1,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/434-W-Laurel-St-2-Compton-CA-90220/2093758468_zpid/
434 W Laurel St # 1,Compton,CA,90220,459000,NA,NA,NA,1,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/434-W-Laurel-St-1-Compton-CA-90220/2093758469_zpid/
434 W Laurel St,Compton,CA,90220,459000,NA,NA,NA,1,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/434-W-Laurel-St-Compton-CA-90220/21006090_zpid/
329 W Myrrh St,Compton,CA,90220,NA,NA,NA,NA,15,Auction,http://www.zillow.com/homes/for_sale//homedetails/329-W-Myrrh-St-Compton-CA-90220/21005169_zpid/
W Myrrh St,Compton,CA,90220,NA,NA,NA,NA,68,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/W-Myrrh-St-Compton-CA-90220/127215612_zpid/
141 E Cocoa St APT A,Compton,CA,90220,NA,NA,NA,NA,1137,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/141-E-Cocoa-St-APT-A-Compton-CA-90220/21005443_zpid/
1508 S Bentley Ave,Compton,CA,90220,NA,NA,NA,NA,6078,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/1508-S-Bentley-Ave-Compton-CA-90220/21007229_zpid/
N Acacia Ave,Compton,CA,90220,NA,NA,NA,NA,107,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/128867923_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
517 W Laurel St,Compton,CA,90220,383900,NA,NA,NA,43,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/517-W-Laurel-St-Compton-CA-90220/2094281692_zpid/
114 W Reeve St,Compton,CA,90220,469000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/114-W-Reeve-St-Compton-CA-90220/89666583_zpid/
341 W Magnolia St,Compton,CA,90220,425000,NA,NA,NA,42,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/341-W-Magnolia-St-Compton-CA-90220/21004922_zpid/
839 W Spruce St,Compton,CA,90220,480000,NA,NA,NA,128,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/839-W-Spruce-St-Compton-CA-90220/21004043_zpid/
1105 E 149th St,Compton,CA,90220,519900,NA,NA,NA,126,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1105-E-149th-St-Compton-CA-90220/20991832_zpid/
E 149th St,Compton,CA,90220,NA,NA,NA,NA,326,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/122973509_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
314 W Magnolia St,Compton,CA,90220,800000,NA,NA,NA,63,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/314-W-Magnolia-St-Compton-CA-90220/82874352_zpid/
S Acacia Ave,Compton,CA,90220,NA,NA,NA,NA,409,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135985792_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
W Raymond St,Compton,CA,90220,NA,NA,NA,NA,43,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/135985837_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
W Raymond St,Compton,CA,90220,NA,NA,NA,NA,116,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/135985921_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
W Poplar St,Compton,CA,90220,NA,NA,NA,NA,729,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135958059_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
4250 E San Luis St,Compton,CA,90221,299000,NA,NA,NA,9,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4250-E-San-Luis-St-Compton-CA-90221/21014551_zpid/
E San Luis St,Compton,CA,90221,NA,NA,NA,NA,164,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/127013124_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1201 S Atlantic Dr,Compton,CA,90221,475000,NA,NA,NA,22,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1201-S-Atlantic-Dr-Compton-CA-90221/21241450_zpid/
207 S Locust Ave,Compton,CA,90221,NA,NA,NA,NA,708,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/207-S-Locust-Ave-Compton-CA-90221/21015852_zpid/
904 N Rose Ave,Compton,CA,90221,NA,NA,NA,NA,7612,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/904-N-Rose-Ave-Compton-CA-90221/21008162_zpid/
14527 S Butler Ave,Compton,CA,90221,NA,NA,NA,NA,229,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/14527-S-Butler-Ave-Compton-CA-90221/21022396_zpid/
E San Marcus St,Compton,CA,90221,NA,NA,NA,NA,281,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/125092379_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
812 814 S Harris Ave # 1,Compton,CA,90221,399000,NA,NA,NA,142,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/812-814-S-Harris-Ave-1-Compton-CA-90221/2095452796_zpid/
812 814 S Harris Ave # 2,Compton,CA,90221,399000,NA,NA,NA,142,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/812-814-S-Harris-Ave-2-Compton-CA-90221/2095452854_zpid/
15005 S Cookacre St,Compton,CA,90221,470000,NA,NA,NA,87,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/15005-S-Cookacre-St-Compton-CA-90221/21014559_zpid/
2308 E Compton Blvd,Compton,CA,90221,1100000,NA,NA,NA,166,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2308-E-Compton-Blvd-Compton-CA-90221/119677995_zpid/
4810 E Compton Blvd,Compton,CA,90221,529000,NA,NA,NA,68,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4810-E-Compton-Blvd-Compton-CA-90221/21014881_zpid/
2304 1/2 E Compton Blvd,Compton,CA,90221,450000,NA,NA,NA,166,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2304-1-2-E-Compton-Blvd-Compton-CA-90221/2095764002_zpid/
1800 E Alondra Blvd,Compton,CA,90221,649000,NA,NA,NA,168,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1800-E-Alondra-Blvd-Compton-CA-90221/2115023553_zpid/
2308 1/2 E Compton Blvd,Compton,CA,90221,650000,NA,NA,NA,166,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2308-1-2-E-Compton-Blvd-Compton-CA-90221/2095764001_zpid/
E Kay St # A,Compton,CA,90221,NA,NA,NA,NA,29,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/191088323_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E San Marcus St,Compton,CA,90221,NA,NA,NA,NA,25,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/205128319_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
N Bradfield Ave # A,Compton,CA,90221,NA,NA,NA,NA,116,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/135985785_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E San Carlos St,Compton,CA,90221,NA,NA,NA,NA,585,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135985786_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E Glencoe St,Compton,CA,90221,NA,NA,NA,NA,554,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135985831_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E San Vincente St,Compton,CA,90221,NA,NA,NA,NA,108,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135985879_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E San Vincente St,Compton,CA,90221,NA,NA,NA,NA,247,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135985881_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
N Spring Ave,Compton,CA,90221,NA,NA,NA,NA,64,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/135985889_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E Cocoa St,Compton,CA,90221,NA,NA,NA,NA,332,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/135985935_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1304 N Mulberry Ave,Compton,CA,90222,480000,NA,NA,NA,3,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1304-N-Mulberry-Ave-Compton-CA-90222/21008336_zpid/
12915 S Willowbrook Ave,Compton,CA,90222,NA,NA,NA,NA,1276,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/12915-S-Willowbrook-Ave-Compton-CA-90222/21001418_zpid/
W Rosecrans Ave,Compton,CA,90222,NA,NA,NA,NA,115,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/128849775_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 134th St,Compton,CA,90222,NA,NA,NA,NA,86,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/128912192_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
13409 S Largo Ave,Compton,CA,90222,349000,NA,NA,NA,35,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/13409-S-Largo-Ave-Compton-CA-90222/21002750_zpid/
W 127th Pl,Compton,CA,90222,NA,NA,NA,NA,213,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/135958035_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
W 130th St,Compton,CA,90222,NA,NA,NA,NA,256,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/135958067_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 126th St,Compton,CA,90222,NA,NA,NA,NA,276,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135958086_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 126th St,Compton,CA,90222,NA,NA,NA,NA,438,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135958148_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 122nd St,Compton,CA,90222,NA,NA,NA,NA,528,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135957998_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
4801 Sawtelle Blvd,Culver City,CA,90230,1450000,NA,NA,NA,333,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4801-Sawtelle-Blvd-Culver-City-CA-90230/20437739_zpid/
12055 Jefferson Blvd,Culver City,CA,90230,2000000,NA,NA,NA,40,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/12055-Jefferson-Blvd-Culver-City-CA-90230/20439957_zpid/
